Character_id,Generation,Sex,Height,Width,Speed,StartArea_name,GoalArea_name
4,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
5,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
6,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
7,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
8,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
9,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
10,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
11,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
12,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
13,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
14,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
15,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
16,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
17,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
18,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
19,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
20,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
21,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
22,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
23,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
24,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
25,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
26,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
27,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
28,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
29,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
30,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
31,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
32,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
33,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
34,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
35,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
36,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
37,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
38,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
39,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
40,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
41,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
42,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
43,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
44,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
45,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
46,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
47,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
48,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
49,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
50,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
51,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
52,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
53,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
54,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
55,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
56,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
57,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
58,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
59,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
60,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
61,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
62,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
63,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
64,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
65,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
66,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
67,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
68,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
69,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
70,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
71,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
72,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
73,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
74,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
75,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
76,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
77,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
78,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
79,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
80,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
81,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
82,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
83,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
84,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
85,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
86,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
87,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
88,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
89,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
90,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
91,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
92,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
93,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
94,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
95,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
96,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
97,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
98,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
99,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
100,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
101,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
102,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
103,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
104,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
105,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
106,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
107,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
108,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
109,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
110,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
111,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
112,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
113,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
114,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
115,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
116,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
117,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
118,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
119,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
120,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
121,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
122,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
123,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
124,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
125,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
126,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
127,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
128,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
129,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
130,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
131,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
132,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
133,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
134,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
135,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
136,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
137,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
138,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
139,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
140,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
141,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
142,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
143,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
144,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
145,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
146,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
147,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
148,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
149,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
150,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
151,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
152,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
153,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
154,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
155,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
156,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
157,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
158,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
159,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
160,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
161,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
162,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
163,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
164,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
165,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
166,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
167,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
168,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
169,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
170,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
171,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
172,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
173,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
174,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
175,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
176,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
177,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
178,Young,Female,158.0,42.0,85.0,TestStartA,TestGoalR
179,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
180,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
181,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
182,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
183,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
184,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
185,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
186,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
187,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
188,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
189,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
190,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
191,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
192,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
193,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
194,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
195,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
196,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
197,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
198,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
199,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
200,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
201,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
202,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
203,Young,Male,171.0,47.0,100.0,TestStartB,TestGoalL
